"name","chistians","muslims","unaffiliated","hindus","buddhists","folkReligions","other","jews","pop2020"
"Afghanistan",30000,31330000,5000,10000,5000,5000,20000,5000,"38928.3460"
"Albania",580000,2570000,50000,5000,5000,5000,5000,5000,"2877.7970"
"Algeria",60000,34730000,660000,5000,5000,10000,5000,5000,"43851.0440"
"American Samoa",50000,5000,5000,5000,5000,5000,5000,5000,"55.1910"
"Andorra",70000,5000,5000,5000,5000,5000,5000,5000,"77.2650"
"Angola",17270000,40000,980000,5000,5000,790000,5000,5000,"32866.2720"
"Anguilla",10000,5000,5000,5000,5000,5000,5000,5000,"15.0030"
"Antigua and Barbuda",80000,5000,5000,5000,5000,5000,5000,5000,"97.9290"
"Argentina",34420000,400000,4920000,5000,20000,330000,120000,200000,"45195.7740"
"Armenia",3050000,5000,40000,5000,5000,5000,5000,5000,"2963.2430"
"Aruba",100000,5000,5000,5000,5000,5000,5000,5000,"106.7660"
"Australia",14980000,540000,5390000,310000,600000,150000,180000,110000,"25499.8840"
"Austria",6750000,450000,1130000,5000,20000,5000,10000,10000,"9006.3980"
"Azerbaijan",280000,8900000,5000,5000,5000,5000,5000,5000,"10139.1770"
"Bahamas",330000,5000,10000,5000,5000,5000,5000,5000,"393.2440"
"Bahrain",180000,890000,20000,120000,30000,5000,5000,5000,"1701.5750"
"Bangladesh",450000,134430000,5000,12680000,920000,100000,100000,5000,"164689.3830"
"Barbados",260000,5000,5000,5000,5000,5000,5000,5000,"287.3750"
"Belarus",6830000,20000,2740000,5000,5000,5000,5000,5000,"9449.3230"
"Belgium",6880000,630000,3110000,5000,30000,20000,10000,30000,"11589.6230"
"Belize",270000,5000,30000,5000,5000,5000,5000,5000,"397.6280"
"Benin",4690000,2110000,450000,5000,5000,1600000,5000,5000,"12123.2000"
"Bermuda",50000,5000,10000,5000,5000,5000,5000,5000,"62.2780"
"Bhutan",5000,5000,5000,160000,540000,10000,5000,5000,"771.6080"
"Bolivia",9330000,5000,400000,5000,5000,90000,100000,5000,"11673.0210"
"Bosnia and Herzegovina",1970000,1700000,90000,5000,5000,5000,5000,5000,"3280.8190"
"Botswana",1450000,5000,410000,5000,5000,120000,10000,5000,"2351.6270"
"Brazil",173300000,40000,15410000,5000,250000,5540000,300000,110000,"212559.4170"
"British Virgin Islands",20000,5000,5000,5000,5000,5000,5000,5000,"30.2310"
"Brunei",40000,300000,5000,5000,30000,20000,5000,5000,"437.4790"
"Bulgaria",6150000,1020000,310000,5000,5000,5000,5000,5000,"6948.4450"
"Burkina Faso",3710000,10150000,70000,5000,5000,2530000,5000,5000,"20903.2730"
"Burundi",7670000,230000,5000,5000,5000,480000,5000,5000,"11890.7840"
"Cambodia",50000,280000,30000,5000,13690000,80000,5000,5000,"16718.9650"
"Cameroon",13780000,3590000,1050000,5000,5000,650000,530000,5000,"26545.8630"
"Canada",23470000,710000,8050000,470000,280000,390000,300000,350000,"37742.1540"
"Cape Verde",440000,5000,50000,5000,5000,5000,5000,5000,"555.9870"
"Cayman Islands",50000,5000,5000,5000,5000,5000,5000,5000,"65.7220"
"Central African Republic",3940000,370000,40000,5000,5000,40000,5000,5000,"4829.7670"
"Chad",4560000,6210000,280000,5000,5000,160000,20000,5000,"16425.8640"
"Chile",15300000,5000,1470000,5000,10000,260000,30000,20000,"19116.2010"
"China",68410000,24690000,700680000,20000,244110000,294300000,9080000,5000,"1439323.7760"
"Colombia",42810000,10000,3050000,5000,5000,370000,40000,5000,"50882.8910"
"Comoros",5000,720000,5000,5000,5000,5000,5000,5000,"869.6010"
"Cook Islands",20000,5000,5000,5000,5000,5000,5000,5000,"17.5640"
"Costa Rica",4230000,5000,370000,5000,5000,40000,10000,5000,"5094.1180"
"Croatia",4110000,60000,230000,5000,5000,5000,5000,5000,"4105.2670"
"Cuba",6670000,5000,2590000,20000,5000,1960000,5000,5000,"11326.6160"
"Cyprus",810000,280000,10000,5000,5000,5000,5000,5000,"1207.3590"
"Czech Republic",2450000,5000,8020000,5000,5000,5000,5000,5000,"10708.9810"
"Denmark",4630000,230000,650000,20000,10000,5000,5000,5000,"5792.2020"
"Djibouti",20000,860000,5000,5000,5000,5000,5000,5000,988
"Dominica",70000,5000,5000,5000,5000,5000,5000,5000,"71.9860"
"Dominican Republic",8740000,5000,1080000,5000,5000,90000,10000,5000,"10847.9100"
"DR Congo",63210000,970000,1170000,30000,5000,490000,100000,5000,"89561.4030"
"Ecuador",13610000,5000,800000,5000,5000,40000,5000,5000,"17643.0540"
"Egypt",4120000,76990000,5000,5000,5000,5000,5000,5000,"102334.4040"
"El Salvador",5460000,5000,680000,5000,5000,30000,20000,5000,"6486.2050"
"Equatorial Guinea",620000,30000,30000,5000,5000,10000,5000,5000,"1402.9850"
"Eritrea",3310000,1920000,5000,5000,5000,20000,5000,5000,"3546.4210"
"Estonia",540000,5000,800000,5000,5000,5000,5000,5000,"1326.5350"
"Ethiopia",52070000,28680000,50000,5000,5000,2130000,5000,5000,"114963.5880"
"Falkland Islands",5000,5000,5000,5000,5000,5000,5000,5000,"3.4800"
"Fiji",550000,50000,5000,240000,5000,5000,5000,5000,"896.4450"
"Finland",4300000,40000,1020000,5000,5000,5000,5000,5000,"5540.7200"
"France",39560000,4710000,17580000,30000,280000,220000,100000,310000,"65273.5110"
"French Guiana",200000,5000,5000,5000,5000,20000,5000,5000,"298.6820"
"French Polynesia",250000,5000,10000,5000,5000,5000,5000,5000,"280.9080"
"Gabon",1150000,170000,80000,5000,5000,90000,5000,5000,"2225.7340"
"Gambia",80000,1640000,5000,5000,5000,5000,5000,5000,"2416.6680"
"Georgia",3850000,470000,30000,5000,5000,5000,5000,5000,"3989.1670"
"Germany",56540000,4760000,20350000,80000,210000,40000,100000,230000,"83783.9420"
"Ghana",18260000,3860000,1020000,5000,5000,1200000,40000,5000,"31072.9400"
"Gibraltar",30000,5000,5000,5000,5000,5000,5000,5000,"33.6910"
"Greece",10010000,610000,700000,20000,5000,10000,5000,5000,"10423.0540"
"Greenland",50000,5000,5000,5000,5000,5000,5000,5000,"56.7700"
"Grenada",100000,5000,5000,5000,5000,5000,5000,5000,"112.5230"
"Guadeloupe",440000,5000,10000,5000,5000,5000,5000,5000,"400.1240"
"Guam",170000,5000,5000,5000,5000,5000,5000,5000,"168.7750"
"Guatemala",13690000,5000,590000,5000,5000,80000,10000,5000,"17915.5680"
"Guinea",1090000,8430000,180000,5000,5000,270000,5000,5000,"13132.7950"
"Guinea-Bissau",300000,680000,70000,5000,5000,470000,5000,5000,"1968.0010"
"Guyana",500000,50000,10000,190000,5000,5000,5000,5000,"786.5520"
"Haiti",8690000,5000,1060000,5000,5000,220000,30000,5000,"11402.5280"
"Honduras",6660000,10000,790000,5000,5000,80000,40000,5000,"9904.6070"
"Hong Kong",1010000,130000,3950000,30000,930000,900000,110000,5000,"7496.9810"
"Hungary",8090000,5000,1860000,5000,5000,5000,5000,10000,"9660.3510"
"Iceland",300000,5000,10000,5000,5000,5000,5000,5000,"341.2430"
"India",31130000,176200000,870000,973750000,9250000,5850000,27560000,10000,"1380004.3850"
"Indonesia",23660000,209120000,240000,4050000,1720000,750000,340000,5000,"273523.6150"
"Iran",110000,73570000,110000,20000,5000,5000,150000,5000,"83992.9490"
"Iraq",270000,31340000,40000,5000,5000,5000,20000,5000,"40222.4930"
"Ireland",4110000,50000,280000,10000,5000,5000,5000,5000,"4937.7860"
"Isle of Man",70000,5000,10000,5000,5000,5000,5000,5000,"85.0330"
"Israel",150000,1380000,230000,5000,20000,20000,5000,5610000,"8655.5350"
"Italy",50440000,2220000,7500000,90000,110000,80000,60000,50000,"60461.8260"
"Ivory Coast",8710000,7390000,1570000,5000,5000,2020000,30000,5000,"26378.2740"
"Jamaica",2120000,5000,470000,5000,5000,120000,30000,5000,"2961.1670"
"Japan",2030000,200000,72120000,30000,45820000,450000,5890000,5000,"126476.4610"
"Jordan",130000,6010000,5000,5000,20000,5000,5000,5000,"10203.1340"
"Kazakhstan",3970000,11290000,670000,5000,40000,50000,20000,5000,"18776.7070"
"Kenya",34340000,3920000,1000000,60000,5000,690000,500000,5000,"53771.2960"
"Kiribati",90000,5000,5000,5000,5000,5000,5000,5000,"119.4490"
"Kuwait",390000,2030000,5000,230000,80000,5000,5000,5000,"4270.5710"
"Kyrgyzstan",610000,4690000,20000,5000,5000,5000,5000,5000,"6524.1950"
"Laos",90000,5000,50000,5000,4100000,1910000,50000,5000,"7275.5600"
"Latvia",1260000,5000,990000,5000,5000,5000,5000,5000,"1886.1980"
"Lebanon",1620000,2590000,10000,5000,5000,5000,5000,5000,"6825.4450"
"Lesotho",2100000,5000,70000,5000,5000,5000,5000,5000,"2142.2490"
"Liberia",3430000,480000,60000,5000,5000,20000,5000,5000,"5057.6810"
"Libya",170000,6140000,10000,5000,20000,5000,5000,5000,"6871.2920"
"Liechtenstein",30000,5000,5000,5000,5000,5000,5000,5000,"38.1280"
"Lithuania",2980000,5000,330000,5000,5000,5000,5000,5000,"2722.2890"
"Luxembourg",360000,10000,140000,5000,5000,5000,5000,5000,"625.9780"
"Macau",40000,5000,80000,5000,90000,320000,5000,5000,"649.3350"
"Madagascar",17680000,620000,1440000,10000,5000,940000,20000,5000,"27691.0180"
"Malawi",12320000,1930000,370000,5000,5000,260000,5000,5000,"19129.9520"
"Malaysia",2670000,18100000,190000,1720000,5010000,650000,60000,5000,"32365.9990"
"Maldives",5000,310000,5000,5000,5000,5000,5000,5000,"540.5440"
"Mali",370000,14510000,70000,5000,5000,410000,5000,5000,"20250.8330"
"Malta",400000,5000,10000,5000,5000,5000,5000,5000,"441.5430"
